Index,m:s.ms.us,Dur,Len,Err,PID,CRC,Packet,Packet Data
22059,00:25.436.578,103.72 us,,,,,[5 IN/NAK],
22060,00:25.436.708,103.97 us,,,,,[5 IN/NAK],
22061,00:25.436.838,77.93 us,,,,,[4 IN/NAK],
22062,00:25.436.953,98.90 us,,,,,[5 IN/NAK],
22063,00:25.437.078,103.68 us,,,,,[5 IN/NAK],
22064,00:25.437.207,98.92 us,,,,,[5 IN/NAK],
22065,00:25.437.328,84.92 us,,,,,[4 IN/NAK],
22066,00:25.437.452,98.85 us,,,,,[5 IN/NAK],
22067,00:25.437.577,103.67 us,,,,,[5 IN/NAK],
22068,00:25.437.706,103.95 us,,,,,[5 IN/NAK],
22069,00:25.437.836,77.97 us,,,,,[4 IN/NAK],
22070,00:25.437.951,98.88 us,,,,,[5 IN/NAK],
22071,00:25.438.076,103.68 us,,,,,[5 IN/NAK],
22072,00:25.438.205,98.93 us,,,,,[5 IN/NAK],
22073,00:25.438.326,84.93 us,,,,,[4 IN/NAK],
22074,00:25.438.450,98.88 us,,,,,[5 IN/NAK],
22075,00:25.438.575,103.68 us,,,,,[5 IN/NAK],
22076,00:25.438.704,103.97 us,,,,,[5 IN/NAK],
22077,00:25.438.834,78.00 us,,,,,[4 IN/NAK],
22078,00:25.438.949,98.88 us,,,,,[5 IN/NAK],
22079,00:25.439.074,103.67 us,,,,,[5 IN/NAK],
22080,00:25.439.203,98.93 us,,,,,[5 IN/NAK],
22081,00:25.439.324,84.92 us,,,,,[4 IN/NAK],
22082,00:25.439.448,98.87 us,,,,,[5 IN/NAK],
22083,00:25.439.573,103.65 us,,,,,[5 IN/NAK],
22084,00:25.439.702,103.95 us,,,,,[5 IN/NAK],
22085,00:25.439.832,77.98 us,,,,,[4 IN/NAK],
22086,00:25.439.947,98.87 us,,,,,[5 IN/NAK],
22087,00:25.440.072,103.67 us,,,,,[5 IN/NAK],
22088,00:25.440.202,98.95 us,,,,,[5 IN/NAK],
22089,00:25.440.322,84.93 us,,,,,[4 IN/NAK],
22090,00:25.440.446,98.87 us,,,,,[5 IN/NAK],
22091,00:25.440.571,103.67 us,,,,,[5 IN/NAK],
22092,00:25.440.701,103.93 us,,,,,[5 IN/NAK],
22093,00:25.440.830,78.00 us,,,,,[4 IN/NAK],
22094,00:25.440.945,98.87 us,,,,,[5 IN/NAK],
22095,00:25.441.070,103.72 us,,,,,[5 IN/NAK],
22096,00:25.441.200,98.93 us,,,,,[5 IN/NAK],
22097,00:25.441.320,84.90 us,,,,,[4 IN/NAK],
22098,00:25.441.444,98.90 us,,,,,[5 IN/NAK],
22099,00:25.441.569,103.65 us,,,,,[5 IN/NAK],
22100,00:25.441.699,103.92 us,,,,,[5 IN/NAK],
22101,00:25.441.828,78.00 us,,,,,[4 IN/NAK],
22102,00:25.441.943,98.85 us,,,,,[5 IN/NAK],
22103,00:25.442.068,103.67 us,,,,,[5 IN/NAK],
22104,00:25.442.198,98.93 us,,,,,[5 IN/NAK],
22105,00:25.442.319,84.90 us,,,,,[4 IN/NAK],
22106,00:25.442.442,98.88 us,,,,,[5 IN/NAK],
22107,00:25.442.567,103.70 us,,,,,[5 IN/NAK],
22108,00:25.442.697,103.93 us,,,,,[5 IN/NAK],
22109,00:25.442.827,78.02 us,,,,,[4 IN/NAK],
22110,00:25.442.942,98.85 us,,,,,[5 IN/NAK],
22111,00:25.443.067,103.67 us,,,,,[5 IN/NAK],
22112,00:25.443.196,98.97 us,,,,,[5 IN/NAK],
22113,00:25.443.318,84.00 us,,,,,[4 IN/NAK],
22114,00:25.443.441,98.85 us,,,,,[5 IN/NAK],
22115,00:25.443.566,103.72 us,,,,,[5 IN/NAK],
22116,00:25.443.695,103.90 us,,,,,[5 IN/NAK],
22117,00:25.443.825,78.00 us,,,,,[4 IN/NAK],
22118,00:25.443.940,98.87 us,,,,,[5 IN/NAK],
22119,00:25.444.065,103.65 us,,,,,[5 IN/NAK],
22120,00:25.444.194,98.95 us,,,,,[5 IN/NAK],
22121,00:25.444.315,84.87 us,,,,,[4 IN/NAK],
22122,00:25.444.439,98.85 us,,,,,[5 IN/NAK],
22123,00:25.444.564,103.70 us,,,,,[5 IN/NAK],
22124,00:25.444.693,103.93 us,,,,,[5 IN/NAK],
22125,00:25.444.823,78.00 us,,,,,[4 IN/NAK],
22126,00:25.444.938,98.88 us,,,,,[5 IN/NAK],
22127,00:25.445.063,103.67 us,,,,,[5 IN/NAK],
22128,00:25.445.192,98.95 us,,,,,[5 IN/NAK],
22129,00:25.445.313,84.90 us,,,,,[4 IN/NAK],
22130,00:25.445.437,98.85 us,,,,,[5 IN/NAK],
22131,00:25.445.562,103.67 us,,,,,[5 IN/NAK],
22132,00:25.445.691,103.98 us,,,,,[5 IN/NAK],
22133,00:25.445.821,77.97 us,,,,,[4 IN/NAK],
22134,00:25.445.936,98.88 us,,,,,[5 IN/NAK],
22135,00:25.446.061,103.68 us,,,,,[5 IN/NAK],
22136,00:25.446.190,98.93 us,,,,,[5 IN/NAK],
22137,00:25.446.311,84.92 us,,,,,[4 IN/NAK],
22138,00:25.446.435,98.87 us,,,,,[5 IN/NAK],
22139,00:25.446.560,103.67 us,,,,,[5 IN/NAK],
22140,00:25.446.689,103.95 us,,,,,[5 IN/NAK],
22141,00:25.446.819,78.00 us,,,,,[4 IN/NAK],
22142,00:25.446.934,98.87 us,,,,,[5 IN/NAK],
22143,00:25.447.059,103.68 us,,,,,[5 IN/NAK],
22144,00:25.447.189,98.92 us,,,,,[5 IN/NAK],
22145,00:25.447.309,84.92 us,,,,,[4 IN/NAK],
22146,00:25.447.433,98.87 us,,,,,[5 IN/NAK],
22147,00:25.447.558,103.63 us,,,,,[5 IN/NAK],
22148,00:25.447.688,103.93 us,,,,,[5 IN/NAK],
22149,00:25.447.817,78.00 us,,,,,[4 IN/NAK],
22150,00:25.447.932,98.88 us,,,,,[5 IN/NAK],
22151,00:25.448.057,103.68 us,,,,,[5 IN/NAK],
22152,00:25.448.187,98.93 us,,,,,[5 IN/NAK],
22153,00:25.448.308,84.93 us,,,,,[4 IN/NAK],
22154,00:25.448.431,98.87 us,,,,,[5 IN/NAK],
22155,00:25.448.556,103.65 us,,,,,[5 IN/NAK],
22156,00:25.448.686,103.97 us,,,,,[5 IN/NAK],
22157,00:25.448.816,78.00 us,,,,,[4 IN/NAK],
22158,00:25.448.930,98.87 us,,,,,[5 IN/NAK],
22159,00:25.449.055,103.70 us,,,,,[5 IN/NAK],
22160,00:25.449.185,98.93 us,,,,,[5 IN/NAK],
22161,00:25.449.306,84.92 us,,,,,[4 IN/NAK],
22162,00:25.449.430,98.88 us,,,,,[5 IN/NAK],
22163,00:25.449.555,103.65 us,,,,,[5 IN/NAK],
22164,00:25.449.684,103.97 us,,,,,[5 IN/NAK],
22165,00:25.449.814,77.98 us,,,,,[4 IN/NAK],
22166,00:25.449.929,98.85 us,,,,,[5 IN/NAK],
22167,00:25.450.054,103.70 us,,,,,[5 IN/NAK],
22168,00:25.450.183,98.95 us,,,,,[5 IN/NAK],
22169,00:25.450.304,84.90 us,,,,,[4 IN/NAK],
22170,00:25.450.428,98.87 us,,,,,[5 IN/NAK],
22171,00:25.450.553,103.67 us,,,,,[5 IN/NAK],
22172,00:25.450.682,103.95 us,,,,,[5 IN/NAK],
22173,00:25.450.812,78.00 us,,,,,[4 IN/NAK],
22174,00:25.450.927,98.83 us,,,,,[5 IN/NAK],
22175,00:25.451.052,103.72 us,,,,,[5 IN/NAK],
22176,00:25.451.181,98.95 us,,,,,[5 IN/NAK],
22177,00:25.451.303,83.98 us,,,,,[4 IN/NAK],
22178,00:25.451.426,98.85 us,,,,,[5 IN/NAK],
22179,00:25.451.551,103.68 us,,,,,[5 IN/NAK],
22180,00:25.451.680,103.95 us,,,,,[5 IN/NAK],
22181,00:25.451.810,77.98 us,,,,,[4 IN/NAK],
22182,00:25.451.925,98.87 us,,,,,[5 IN/NAK],
22183,00:25.452.050,103.63 us,,,,,[5 IN/NAK],
22184,00:25.452.179,98.97 us,,,,,[5 IN/NAK],
22185,00:25.452.300,84.92 us,,,,,[4 IN/NAK],
22186,00:25.452.424,98.85 us,,,,,[5 IN/NAK],
22187,00:25.452.549,103.68 us,,,,,[5 IN/NAK],
22188,00:25.452.679,103.93 us,,,,,[5 IN/NAK],
22189,00:25.452.808,78.00 us,,,,,[4 IN/NAK],
22190,00:25.452.923,98.90 us,,,,,[5 IN/NAK],
22191,00:25.453.048,103.65 us,,,,,[5 IN/NAK],
22192,00:25.453.178,98.97 us,,,,,[5 IN/NAK],
22193,00:25.453.298,84.92 us,,,,,[4 IN/NAK],
22194,00:25.453.422,98.87 us,,,,,[5 IN/NAK],
22195,00:25.453.547,103.72 us,,,,,[5 IN/NAK],
22196,00:25.453.677,103.95 us,,,,,[5 IN/NAK],
22197,00:25.453.807,77.98 us,,,,,[4 IN/NAK],
22198,00:25.453.921,98.90 us,,,,,[5 IN/NAK],
22199,00:25.454.046,103.65 us,,,,,[5 IN/NAK],
22200,00:25.454.176,98.90 us,,,,,[5 IN/NAK],
22201,00:25.454.297,84.92 us,,,,,[4 IN/NAK],
22202,00:25.454.420,98.83 us,,,,,[5 IN/NAK],
22203,00:25.454.545,103.67 us,,,,,[5 IN/NAK],
22204,00:25.454.675,103.97 us,,,,,[5 IN/NAK],
22205,00:25.454.805,77.98 us,,,,,[4 IN/NAK],
22206,00:25.454.920,98.88 us,,,,,[5 IN/NAK],
22207,00:25.455.044,103.65 us,,,,,[5 IN/NAK],
22208,00:25.455.174,98.93 us,,,,,[5 IN/NAK],
22209,00:25.455.295,84.93 us,,,,,[4 IN/NAK],
22210,00:25.455.419,98.87 us,,,,,[5 IN/NAK],
22211,00:25.455.544,103.67 us,,,,,[5 IN/NAK],
22212,00:25.455.673,103.95 us,,,,,[5 IN/NAK],
22213,00:25.455.803,77.97 us,,,,,[4 IN/NAK],
22214,00:25.455.918,98.87 us,,,,,[5 IN/NAK],
22215,00:25.456.043,103.70 us,,,,,[5 IN/NAK],
22216,00:25.456.172,98.93 us,,,,,[5 IN/NAK],
22217,00:25.456.293,84.92 us,,,,,[4 IN/NAK],
22218,00:25.456.417,98.87 us,,,,,[5 IN/NAK],
22219,00:25.456.542,103.67 us,,,,,[5 IN/NAK],
22220,00:25.456.671,103.97 us,,,,,[5 IN/NAK],
22221,00:25.456.801,78.00 us,,,,,[4 IN/NAK],
22222,00:25.456.916,98.83 us,,,,,[5 IN/NAK],
22223,00:25.457.041,103.68 us,,,,,[5 IN/NAK],
22224,00:25.457.170,98.95 us,,,,,[5 IN/NAK],
22225,00:25.457.291,84.90 us,,,,,[4 IN/NAK],
22226,00:25.457.415,98.88 us,,,,,[5 IN/NAK],
22227,00:25.457.540,103.67 us,,,,,[5 IN/NAK],
22228,00:25.457.669,103.95 us,,,,,[5 IN/NAK],
22229,00:25.457.799,78.00 us,,,,,[4 IN/NAK],
22230,00:25.457.914,98.83 us,,,,,[5 IN/NAK],
22231,00:25.458.039,103.70 us,,,,,[5 IN/NAK],
22232,00:25.458.168,98.97 us,,,,,[5 IN/NAK],
22233,00:25.458.289,84.92 us,,,,,[4 IN/NAK],
22234,00:25.458.413,98.87 us,,,,,[5 IN/NAK],
22235,00:25.458.538,103.65 us,,,,,[5 IN/NAK],
22236,00:25.458.667,103.92 us,,,,,[5 IN/NAK],
22237,00:25.458.797,77.98 us,,,,,[4 IN/NAK],
22238,00:25.458.912,98.85 us,,,,,[5 IN/NAK],
22239,00:25.459.037,103.67 us,,,,,[5 IN/NAK],
22240,00:25.459.167,98.97 us,,,,,[5 IN/NAK],
22241,00:25.459.288,83.97 us,,,,,[4 IN/NAK],
22242,00:25.459.411,98.88 us,,,,,[5 IN/NAK],
22243,00:25.459.536,103.65 us,,,,,[5 IN/NAK],
22244,00:25.459.666,103.93 us,,,,,[5 IN/NAK],
22245,00:25.459.795,78.00 us,,,,,[4 IN/NAK],
22246,00:25.459.910,98.85 us,,,,,[5 IN/NAK],
22247,00:25.460.035,103.67 us,,,,,[5 IN/NAK],
22248,00:25.460.165,98.97 us,,,,,[5 IN/NAK],
22249,00:25.460.286,84.88 us,,,,,[4 IN/NAK],
22250,00:25.460.409,98.88 us,,,,,[5 IN/NAK],
22251,00:25.460.534,103.68 us,,,,,[5 IN/NAK],
22252,00:25.460.664,103.97 us,,,,,[5 IN/NAK],
22253,00:25.460.794,78.00 us,,,,,[4 IN/NAK],
22254,00:25.460.908,98.88 us,,,,,[5 IN/NAK],
22255,00:25.461.033,103.68 us,,,,,[5 IN/NAK],
22256,00:25.461.163,98.97 us,,,,,[5 IN/NAK],
22257,00:25.461.284,84.90 us,,,,,[4 IN/NAK],
22258,00:25.461.408,98.87 us,,,,,[5 IN/NAK],
22259,00:25.461.533,103.68 us,,,,,[5 IN/NAK],
22260,00:25.461.662,103.93 us,,,,,[5 IN/NAK],
22261,00:25.461.792,78.00 us,,,,,[4 IN/NAK],
22262,00:25.461.907,98.87 us,,,,,[5 IN/NAK],
22263,00:25.462.032,103.67 us,,,,,[5 IN/NAK],
22264,00:25.462.161,98.93 us,,,,,[5 IN/NAK],
22265,00:25.462.282,84.92 us,,,,,[4 IN/NAK],
22266,00:25.462.406,98.85 us,,,,,[5 IN/NAK],
22267,00:25.462.531,103.68 us,,,,,[5 IN/NAK],
22268,00:25.462.660,103.93 us,,,,,[5 IN/NAK],
22269,00:25.462.790,77.98 us,,,,,[4 IN/NAK],
22270,00:25.462.905,98.92 us,,,,,[5 IN/NAK],
22271,00:25.463.030,103.68 us,,,,,[5 IN/NAK],
22272,00:25.463.159,98.92 us,,,,,[5 IN/NAK],
22273,00:25.463.280,84.92 us,,,,,[4 IN/NAK],
22274,00:25.463.404,98.85 us,,,,,[5 IN/NAK],
22275,00:25.463.529,103.68 us,,,,,[5 IN/NAK],
22276,00:25.463.658,103.97 us,,,,,[5 IN/NAK],
22277,00:25.463.788,77.97 us,,,,,[4 IN/NAK],
22278,00:25.463.903,98.88 us,,,,,[5 IN/NAK],
22279,00:25.464.028,103.68 us,,,,,[5 IN/NAK],
22280,00:25.464.157,98.93 us,,,,,[5 IN/NAK],
22281,00:25.464.278,84.92 us,,,,,[4 IN/NAK],
22282,00:25.464.402,98.85 us,,,,,[5 IN/NAK],
22283,00:25.464.527,103.67 us,,,,,[5 IN/NAK],
22284,00:25.464.656,103.97 us,,,,,[5 IN/NAK],
22285,00:25.464.786,77.97 us,,,,,[4 IN/NAK],
22286,00:25.464.901,98.88 us,,,,,[5 IN/NAK],
22287,00:25.465.026,103.68 us,,,,,[5 IN/NAK],
22288,00:25.465.156,98.93 us,,,,,[5 IN/NAK],
22289,00:25.465.276,84.93 us,,,,,[4 IN/NAK],
22290,00:25.465.400,98.88 us,,,,,[5 IN/NAK],
22291,00:25.465.525,103.67 us,,,,,[5 IN/NAK],
22292,00:25.465.655,103.98 us,,,,,[5 IN/NAK],
22293,00:25.465.784,77.97 us,,,,,[4 IN/NAK],
22294,00:25.465.899,98.83 us,,,,,[5 IN/NAK],
22295,00:25.466.024,103.70 us,,,,,[5 IN/NAK],
22296,00:25.466.154,98.95 us,,,,,[5 IN/NAK],
22297,00:25.466.274,84.90 us,,,,,[4 IN/NAK],
22298,00:25.466.398,98.87 us,,,,,[5 IN/NAK],
22299,00:25.466.523,103.65 us,,,,,[5 IN/NAK],
22300,00:25.466.653,103.95 us,,,,,[5 IN/NAK],
22301,00:25.466.782,77.98 us,,,,,[4 IN/NAK],
22302,00:25.466.897,98.85 us,,,,,[5 IN/NAK],
22303,00:25.467.022,103.70 us,,,,,[5 IN/NAK],
22304,00:25.467.152,98.95 us,,,,,[5 IN/NAK],
22305,00:25.467.273,84.00 us,,,,,[4 IN/NAK],
22306,00:25.467.396,98.88 us,,,,,[5 IN/NAK],
22307,00:25.467.521,103.67 us,,,,,[5 IN/NAK],
22308,00:25.467.651,103.93 us,,,,,[5 IN/NAK],
22309,00:25.467.781,78.00 us,,,,,[4 IN/NAK],
22310,00:25.467.895,98.87 us,,,,,[5 IN/NAK],
22311,00:25.468.020,103.68 us,,,,,[5 IN/NAK],
22312,00:25.468.150,98.97 us,,,,,[5 IN/NAK],
22313,00:25.468.271,84.92 us,,,,,[4 IN/NAK],
22314,00:25.468.395,98.88 us,,,,,[5 IN/NAK],
22315,00:25.468.520,103.70 us,,,,,[5 IN/NAK],
22316,00:25.468.649,103.93 us,,,,,[5 IN/NAK],
22317,00:25.468.779,78.00 us,,,,,[4 IN/NAK],
22318,00:25.468.894,98.87 us,,,,,[5 IN/NAK],
22319,00:25.469.019,103.65 us,,,,,[5 IN/NAK],
22320,00:25.469.148,98.97 us,,,,,[5 IN/NAK],
22321,00:25.469.269,84.92 us,,,,,[4 IN/NAK],
22322,00:25.469.393,98.87 us,,,,,[5 IN/NAK],
22323,00:25.469.518,103.68 us,,,,,[5 IN/NAK],
22324,00:25.469.647,103.92 us,,,,,[5 IN/NAK],
22325,00:25.469.777,78.00 us,,,,,[4 IN/NAK],
22326,00:25.469.892,98.87 us,,,,,[5 IN/NAK],
22327,00:25.470.017,103.67 us,,,,,[5 IN/NAK],
22328,00:25.470.146,98.95 us,,,,,[5 IN/NAK],
22329,00:25.470.267,84.92 us,,,,,[4 IN/NAK],
22330,00:25.470.391,98.88 us,,,,,[5 IN/NAK],
22331,00:25.470.516,103.70 us,,,,,[5 IN/NAK],
22332,00:25.470.645,103.93 us,,,,,[5 IN/NAK],
22333,00:25.470.775,77.98 us,,,,,[4 IN/NAK],
22334,00:25.470.890,98.87 us,,,,,[5 IN/NAK],
22335,00:25.471.015,103.68 us,,,,,[5 IN/NAK],
22336,00:25.471.144,98.95 us,,,,,[5 IN/NAK],
22337,00:25.471.265,84.92 us,,,,,[4 IN/NAK],
22338,00:25.471.389,98.85 us,,,,,[5 IN/NAK],
22339,00:25.471.514,103.68 us,,,,,[5 IN/NAK],
22340,00:25.471.643,103.95 us,,,,,[5 IN/NAK],
22341,00:25.471.773,77.98 us,,,,,[4 IN/NAK],
22342,00:25.471.888,98.87 us,,,,,[5 IN/NAK],
22343,00:25.472.013,103.65 us,,,,,[5 IN/NAK],
22344,00:25.472.143,98.93 us,,,,,[5 IN/NAK],
22345,00:25.472.263,84.92 us,,,,,[4 IN/NAK],
22346,00:25.472.387,98.85 us,,,,,[5 IN/NAK],
22347,00:25.472.512,103.68 us,,,,,[5 IN/NAK],
22348,00:25.472.642,103.97 us,,,,,[5 IN/NAK],
22349,00:25.472.771,77.97 us,,,,,[4 IN/NAK],
22350,00:25.472.886,98.87 us,,,,,[5 IN/NAK],
22351,00:25.473.011,103.70 us,,,,,[5 IN/NAK],
22352,00:25.473.141,98.95 us,,,,,[5 IN/NAK],
22353,00:25.473.262,84.92 us,,,,,[4 IN/NAK],
22354,00:25.473.385,98.85 us,,,,,[5 IN/NAK],
22355,00:25.473.510,103.65 us,,,,,[5 IN/NAK],
22356,00:25.473.640,103.93 us,,,,,[5 IN/NAK],
22357,00:25.473.769,77.98 us,,,,,[4 IN/NAK],
22358,00:25.473.884,98.85 us,,,,,[5 IN/NAK],
22359,00:25.474.009,103.68 us,,,,,[5 IN/NAK],
22360,00:25.474.139,98.95 us,,,,,[5 IN/NAK],
22361,00:25.474.260,84.92 us,,,,,[4 IN/NAK],
22362,00:25.474.383,98.88 us,,,,,[5 IN/NAK],
22363,00:25.474.508,103.67 us,,,,,[5 IN/NAK],
22364,00:25.474.638,103.98 us,,,,,[5 IN/NAK],
22365,00:25.474.768,78.02 us,,,,,[4 IN/NAK],
22366,00:25.474.883,98.85 us,,,,,[5 IN/NAK],
22367,00:25.475.008,103.70 us,,,,,[5 IN/NAK],
22368,00:25.475.137,98.95 us,,,,,[5 IN/NAK],
22369,00:25.475.259,84.00 us,,,,,[4 IN/NAK],
22370,00:25.475.382,98.90 us,,,,,[5 IN/NAK],
22371,00:25.475.507,103.65 us,,,,,[5 IN/NAK],
22372,00:25.475.636,103.97 us,,,,,[5 IN/NAK],
22373,00:25.475.766,78.00 us,,,,,[4 IN/NAK],
22374,00:25.475.881,98.85 us,,,,,[5 IN/NAK],
22375,00:25.476.006,103.72 us,,,,,[5 IN/NAK],
22376,00:25.476.135,98.97 us,,,,,[5 IN/NAK],
22377,00:25.476.256,84.88 us,,,,,[4 IN/NAK],
22378,00:25.476.380,98.88 us,,,,,[5 IN/NAK],
22379,00:25.476.505,103.67 us,,,,,[5 IN/NAK],
22380,00:25.476.634,103.92 us,,,,,[5 IN/NAK],
22381,00:25.476.764,78.03 us,,,,,[4 IN/NAK],
22382,00:25.476.879,98.85 us,,,,,[5 IN/NAK],
22383,00:25.477.004,103.68 us,,,,,[5 IN/NAK],
22384,00:25.477.133,98.95 us,,,,,[5 IN/NAK],
22385,00:25.477.254,84.88 us,,,,,[4 IN/NAK],
22386,00:25.477.378,98.85 us,,,,,[5 IN/NAK],
22387,00:25.477.503,103.68 us,,,,,[5 IN/NAK],
22388,00:25.477.632,103.92 us,,,,,[5 IN/NAK],
22389,00:25.477.762,78.00 us,,,,,[4 IN/NAK],
22390,00:25.477.877,98.92 us,,,,,[5 IN/NAK],
22391,00:25.478.002,103.65 us,,,,,[5 IN/NAK],
22392,00:25.478.131,98.93 us,,,,,[5 IN/NAK],
22393,00:25.478.252,84.92 us,,,,,[4 IN/NAK],
22394,00:25.478.376,98.85 us,,,,,[5 IN/NAK],
22395,00:25.478.501,103.67 us,,,,,[5 IN/NAK],
22396,00:25.478.631,103.93 us,,,,,[5 IN/NAK],
22397,00:25.478.760,78.00 us,,,,,[4 IN/NAK],
22398,00:25.478.875,98.88 us,,,,,[5 IN/NAK],
22399,00:25.479.000,103.65 us,,,,,[5 IN/NAK],
22400,00:25.479.130,98.95 us,,,,,[5 IN/NAK],
22401,00:25.479.250,84.92 us,,,,,[4 IN/NAK],
22402,00:25.479.374,98.83 us,,,,,[5 IN/NAK],
22403,00:25.479.499,103.68 us,,,,,[5 IN/NAK],
22404,00:25.479.629,103.97 us,,,,,[5 IN/NAK],
22405,00:25.479.758,77.98 us,,,,,[4 IN/NAK],
22406,00:25.479.873,98.88 us,,,,,[5 IN/NAK],
22407,00:25.479.998,103.65 us,,,,,[5 IN/NAK],
22408,00:25.480.128,98.93 us,,,,,[5 IN/NAK],
22409,00:25.480.249,84.92 us,,,,,[4 IN/NAK],
22410,00:25.480.372,98.83 us,,,,,[5 IN/NAK],
22411,00:25.480.497,103.68 us,,,,,[5 IN/NAK],
22412,00:25.480.627,103.98 us,,,,,[5 IN/NAK],
22413,00:25.480.757,77.97 us,,,,,[4 IN/NAK],
22414,00:25.480.871,98.87 us,,,,,[5 IN/NAK],
22415,00:25.480.996,103.67 us,,,,,[5 IN/NAK],
22416,00:25.481.126,98.95 us,,,,,[5 IN/NAK],
22417,00:25.481.247,84.92 us,,,,,[4 IN/NAK],
22418,00:25.481.371,98.83 us,,,,,[5 IN/NAK],
22419,00:25.481.495,103.67 us,,,,,[5 IN/NAK],
22420,00:25.481.625,103.97 us,,,,,[5 IN/NAK],
22421,00:25.481.755,77.97 us,,,,,[4 IN/NAK],
22422,00:25.481.870,98.88 us,,,,,[5 IN/NAK],
22423,00:25.481.995,103.68 us,,,,,[5 IN/NAK],
22424,00:25.482.124,98.95 us,,,,,[5 IN/NAK],
22425,00:25.482.245,84.92 us,,,,,[4 IN/NAK],
22426,00:25.482.369,98.87 us,,,,,[5 IN/NAK],
22427,00:25.482.494,103.70 us,,,,,[5 IN/NAK],
22428,00:25.482.623,103.97 us,,,,,[5 IN/NAK],
22429,00:25.482.753,78.00 us,,,,,[4 IN/NAK],
22430,00:25.482.868,98.87 us,,,,,[5 IN/NAK],
22431,00:25.482.993,103.65 us,,,,,[5 IN/NAK],
22432,00:25.483.122,98.93 us,,,,,[5 IN/NAK],
22433,00:25.483.244,84.02 us,,,,,[4 IN/NAK],
22434,00:25.483.367,98.88 us,,,,,[5 IN/NAK],
22435,00:25.483.492,103.67 us,,,,,[5 IN/NAK],
22436,00:25.483.621,103.93 us,,,,,[5 IN/NAK],
22437,00:25.483.751,78.00 us,,,,,[4 IN/NAK],
22438,00:25.483.866,98.88 us,,,,,[5 IN/NAK],
22439,00:25.483.991,103.68 us,,,,,[5 IN/NAK],
22440,00:25.484.120,98.93 us,,,,,[5 IN/NAK],
22441,00:25.484.241,84.92 us,,,,,[4 IN/NAK],
22442,00:25.484.365,98.88 us,,,,,[5 IN/NAK],
22443,00:25.484.490,103.67 us,,,,,[5 IN/NAK],
22444,00:25.484.619,103.92 us,,,,,[5 IN/NAK],
22445,00:25.484.749,78.00 us,,,,,[4 IN/NAK],
22446,00:25.484.864,98.85 us,,,,,[5 IN/NAK],
22447,00:25.484.989,103.68 us,,,,,[5 IN/NAK],
22448,00:25.485.119,98.95 us,,,,,[5 IN/NAK],
22449,00:25.485.239,84.90 us,,,,,[4 IN/NAK],
22450,00:25.485.363,98.92 us,,,,,[5 IN/NAK],
22451,00:25.485.488,103.67 us,,,,,[5 IN/NAK],
22452,00:25.485.618,103.92 us,,,,,[5 IN/NAK],
22453,00:25.485.747,78.00 us,,,,,[4 IN/NAK],
22454,00:25.485.862,98.87 us,,,,,[5 IN/NAK],
22455,00:25.485.987,103.67 us,,,,,[5 IN/NAK],
22456,00:25.486.117,98.98 us,,,,,[5 IN/NAK],
22457,00:25.486.238,84.88 us,,,,,[4 IN/NAK],
22458,00:25.486.361,98.87 us,,,,,[5 IN/NAK],
22459,00:25.486.486,103.68 us,,,,,[5 IN/NAK],
22460,00:25.486.616,103.95 us,,,,,[5 IN/NAK],
22461,00:25.486.746,78.02 us,,,,,[4 IN/NAK],
22462,00:25.486.860,98.85 us,,,,,[5 IN/NAK],
22463,00:25.486.985,103.62 us,,,,,[5 IN/NAK],
22464,00:25.487.115,98.97 us,,,,,[5 IN/NAK],
22465,00:25.487.236,84.88 us,,,,,[4 IN/NAK],
22466,00:25.487.359,98.85 us,,,,,[5 IN/NAK],
22467,00:25.487.484,103.68 us,,,,,[5 IN/NAK],
22468,00:25.487.614,103.92 us,,,,,[5 IN/NAK],
22469,00:25.487.744,77.98 us,,,,,[4 IN/NAK],
22470,00:25.487.859,98.88 us,,,,,[5 IN/NAK],
22471,00:25.487.984,103.70 us,,,,,[5 IN/NAK],
22472,00:25.488.113,98.95 us,,,,,[5 IN/NAK],
22473,00:25.488.234,84.88 us,,,,,[4 IN/NAK],
22474,00:25.488.358,98.83 us,,,,,[5 IN/NAK],
22475,00:25.488.483,103.68 us,,,,,[5 IN/NAK],
22476,00:25.488.612,103.95 us,,,,,[5 IN/NAK],
22477,00:25.488.742,77.97 us,,,,,[4 IN/NAK],
22478,00:25.488.857,98.88 us,,,,,[5 IN/NAK],
22479,00:25.488.982,103.67 us,,,,,[5 IN/NAK],
22480,00:25.489.111,98.93 us,,,,,[5 IN/NAK],
22481,00:25.489.232,84.90 us,,,,,[4 IN/NAK],
22482,00:25.489.356,98.85 us,,,,,[5 IN/NAK],
22483,00:25.489.481,103.67 us,,,,,[5 IN/NAK],
22484,00:25.489.610,104.00 us,,,,,[5 IN/NAK],
22485,00:25.489.740,77.97 us,,,,,[4 IN/NAK],
22486,00:25.489.855,98.88 us,,,,,[5 IN/NAK],
22487,00:25.489.980,103.68 us,,,,,[5 IN/NAK],
22488,00:25.490.109,98.93 us,,,,,[5 IN/NAK],
22489,00:25.490.230,84.92 us,,,,,[4 IN/NAK],
22490,00:25.490.354,98.88 us,,,,,[5 IN/NAK],
22491,00:25.490.479,103.63 us,,,,,[5 IN/NAK],
22492,00:25.490.608,103.97 us,,,,,[5 IN/NAK],
22493,00:25.490.738,77.98 us,,,,,[4 IN/NAK],
22494,00:25.490.853,98.87 us,,,,,[5 IN/NAK],
